Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
2018-04-10,1702,1077,1315,26,0,0,1103,1341,599,361
2018-04-17,2029,1305,1645,42,0,0,1347,1687,682,342
2018-04-24,2380,1497,2018,54,0,0,1551,2072,829,308
2018-05-01,1991,1375,1631,27,0,0,1402,1658,589,333
2018-05-08,2485,1675,2075,20,0,0,1695,2095,790,390
2018-05-15,2505,1675,2052,26,0,0,1701,2078,804,427
2018-05-22,2684,1785,2228,50,0,0,1835,2278,849,406
2018-05-29,2714,1696,2253,58,0,0,1754,2311,960,403
2018-06-05,2556,1713,2179,27,0,0,1740,2206,816,350
2018-06-12,2643,1805,2182,19,0,0,1824,2201,819,442
2018-06-19,2633,1718,2063,111,0,0,1829,2174,804,459
2018-06-26,2687,1708,2131,140,0,0,1848,2271,839,416
2018-07-03,2514,1680,2089,48,0,0,1728,2137,786,377
2018-07-10,2622,1808,2139,113,0,0,1921,2252,701,370
2018-07-17,2854,1987,2334,83,0,77,2070,2494,784,360
2018-07-24,3431,2295,2792,205,0,77,2500,3074,931,357
2018-07-31,3063,1981,2433,267,0,85,2248,2785,815,278
2018-08-07,2732,1616,1982,316,0,85,1932,2383,800,349
2018-08-14,2983,2203,2425,75,0,77,2278,2577,705,406
2018-08-21,2981,2189,2454,81,0,90,2270,2625,711,356
2018-08-28,2840,1915,2354,66,0,90,1981,2510,859,330
2018-09-04,2707,1862,2184,25,0,145,1887,2354,820,353
2018-09-11,2711,1746,2105,222,0,143,1968,2470,743,241
2018-09-18,2742,1656,2037,228,0,139,1884,2404,858,338
2018-09-25,2746,1625,1952,332,0,139,1957,2423,789,323
2018-10-02,2354,1590,1918,23,0,155,1613,2096,741,258
2018-10-09,2848,2038,2289,24,0,170,2062,2483,786,365
2018-10-16,2730,1962,2190,64,0,170,2026,2424,704,306
2018-10-23,3001,1870,1997,466,0,171,2336,2634,665,367
2018-10-30,2608,1973,2033,82,0,167,2055,2282,553,326
2018-11-06,2913,2248,2458,0,0,167,2248,2625,665,288
2018-11-13,3530,2892,3055,1,0,167,2893,3223,637,307
2018-11-20,3729,2467,2576,599,0,174,3066,3349,663,380
2018-11-27,3791,2677,2750,380,0,251,3057,3381,734,410
2018-12-04,3301,2638,2752,78,0,153,2716,2983,585,318
2018-12-11,3970,3091,3331,124,4,173,3219,3628,751,342
2018-12-18,4359,3407,3759,152,0,169,3559,4080,800,279
2018-12-24,3857,2951,3236,186,0,154,3137,3576,720,281
2018-12-31,3708,2686,2980,227,0,223,2913,3430,795,278
2019-01-08,3764,2976,3217,68,0,173,3044,3458,720,306
2019-01-15,4473,3554,3696,213,0,173,3767,4082,706,391
2019-01-22,4976,3350,3645,814,129,173,4293,4632,683,344
2019-01-29,4047,2888,3203,341,129,173,3358,3717,689,330
2019-02-05,3881,2678,2998,377,131,173,3186,3548,695,333
2019-02-12,3361,2021,2624,258,320,230,2599,3112,762,249
2019-02-19,3964,2486,3062,398,222,220,3106,3680,858,284
2019-02-26,3324,2368,2686,132,0,230,2500,3048,824,276
2019-03-05,3226,2203,2489,165,0,234,2368,2888,858,338
2019-03-12,3480,2307,2663,331,0,256,2638,3250,842,230
2019-03-19,3681,2383,2833,295,0,281,2678,3409,1003,272
2019-03-26,3428,1960,2326,538,0,232,2498,3096,930,332
2019-04-02,4000,2430,3056,471,0,229,2901,3756,1099,244
2019-04-09,4443,2846,3545,421,0,211,3267,4177,1176,266
2019-04-16,4324,2967,3673,193,0,202,3160,4068,1164,256
2019-04-23,4313,2771,3834,156,0,87,2927,4077,1386,236
2019-04-30,3817,2501,3466,98,0,46,2599,3610,1218,207
2019-05-07,4388,2946,3985,108,0,46,3054,4139,1334,249
2019-05-14,4447,2805,3750,289,0,46,3094,4085,1353,362
2019-05-21,4650,2845,3826,384,0,46,3229,4256,1421,394
2019-05-28,5190,3266,4417,371,0,46,3637,4834,1553,356
2019-06-04,4436,2834,3763,211,0,34,3045,4008,1391,428
2019-06-11,4434,2794,3694,280,0,101,3074,4075,1360,359
2019-06-18,5391,3400,4431,491,0,101,3891,5023,1500,368
2019-06-25,6021,3893,5126,391,0,87,4284,5604,1737,417
2019-07-02,5839,4082,5206,222,0,78,4304,5506,1535,333
2019-07-09,6075,4164,5472,181,0,78,4345,5731,1730,344
2019-07-16,5322,3322,4676,211,0,26,3533,4913,1789,409
2019-07-23,4928,3032,4254,184,0,26,3216,4464,1712,464
2019-07-30,4302,2687,3689,92,0,26,2779,3807,1523,495
2019-08-06,4692,2820,4048,72,0,26,2892,4146,1800,546
2019-08-13,4729,2871,4074,110,0,26,2981,4210,1748,519
2019-08-20,4485,2565,3807,224,0,26,2789,4057,1696,428
2019-08-27,4091,2285,3470,81,0,26,2366,3577,1725,514
2019-09-03,4493,2755,3875,154,0,26,2909,4055,1584,438
2019-09-10,4128,2447,3398,253,0,26,2700,3677,1428,451
2019-09-17,4174,2502,3572,219,0,26,2721,3817,1453,357
2019-09-24,4178,2253,3321,297,0,26,2550,3644,1628,534
2019-10-01,3348,1801,2666,137,0,0,1938,2803,1410,545
2019-10-08,3335,1805,2712,135,0,0,1940,2847,1395,488
2019-10-15,3444,1825,2691,201,0,0,2026,2892,1418,552
2019-10-22,3093,1493,2263,216,0,0,1709,2479,1384,614
2019-10-29,3155,1818,2547,152,0,0,1970,2699,1185,456
2019-11-05,3520,2036,2951,187,0,0,2223,3138,1297,382
2019-11-12,3091,1679,2544,138,0,0,1817,2682,1274,409
2019-11-19,3157,1630,2540,125,0,0,1755,2665,1402,492
2019-11-26,3554,1583,2593,302,0,0,1885,2895,1669,659
2019-12-03,2983,1425,2151,72,0,0,1497,2223,1486,760
2019-12-10,3232,1566,2447,122,0,0,1688,2569,1544,663
2019-12-17,3840,2045,3221,137,0,0,2182,3358,1658,482
2019-12-24,3541,1725,3053,126,0,0,1851,3179,1690,362
2019-12-31,3186,1699,2728,133,0,0,1832,2861,1354,325
2020-01-07,5400,3385,4820,258,0,0,3643,5078,1757,322
2020-01-14,5436,3366,4727,279,0,0,3645,5006,1791,430
2020-01-21,5213,2979,4390,415,0,0,3394,4805,1819,408
2020-01-28,5016,2618,4171,402,0,0,3020,4573,1997,443
2020-02-04,4412,2307,3791,225,0,0,2532,4016,1880,396
2020-02-11,6190,3586,5285,439,0,0,4025,5724,2165,466
2020-02-18,6573,4320,5750,395,0,0,4714,6144,1859,429
2020-02-25,5754,3715,4881,413,0,0,4128,5294,1626,460
2020-03-03,4897,2219,3812,654,0,0,2873,4466,2024,431
2020-03-10,4425,2379,3432,522,0,0,2901,3954,1524,471
2020-03-17,4559,2895,3870,148,0,0,3043,4019,1516,540
2020-03-24,3976,2271,3133,170,0,0,2441,3303,1535,673
2020-03-31,3982,2602,3308,103,0,0,2705,3411,1277,570
2020-04-07,5491,3383,4790,324,0,0,3707,5114,1784,377
2020-04-14,5583,3372,4877,286,0,0,3659,5164,1924,419
2020-04-21,5702,3408,4945,296,0,0,3704,5240,1998,462
2020-04-28,6154,3636,5240,482,0,0,4118,5722,2036,432
2020-05-05,7909,5009,6727,786,0,0,5795,7513,2114,396
2020-05-12,10231,6606,8946,916,31,0,7553,9861,2678,369
2020-05-19,11802,7341,9943,1494,34,0,8869,11437,2933,365
2020-05-26,9170,6017,7684,830,0,0,6848,8514,2323,656
2020-06-02,9999,5899,8070,1434,35,0,7368,9504,2631,495
2020-06-09,10924,6833,8791,1552,32,0,8418,10344,2506,580
2020-06-16,9605,6361,7934,1020,0,0,7381,8953,2224,651
2020-06-23,10091,6625,8430,1128,0,0,7753,9557,2338,534
2020-06-30,8123,5653,6893,562,0,0,6215,7455,1908,668
2020-07-07,8635,5976,7480,554,0,0,6530,8034,2105,601
2020-07-14,8726,6309,7632,475,0,0,6784,8107,1942,619
2020-07-21,9603,6811,8522,472,0,0,7283,8994,2320,610
2020-07-28,14459,8792,12045,1790,111,0,10693,13835,3766,624
2020-08-04,13460,8828,12104,898,177,0,9903,13002,3557,458
2020-08-11,13969,8591,11699,1759,137,0,10487,13458,3482,511
2020-08-18,15501,8823,12413,2517,200,0,11541,14931,3960,570
2020-08-25,12444,6882,9065,2125,175,0,9182,11190,3262,1254
2020-09-01,11300,6939,9522,1307,183,0,8429,10829,2871,471
2020-09-08,8942,4724,7055,1337,100,0,6161,8392,2781,550
2020-09-15,10462,5213,8095,1704,67,0,6984,9799,3478,663
2020-09-22,9324,4099,6584,2091,67,0,6257,8675,3067,649
2020-09-29,8028,4091,6134,1248,0,70,5339,7452,2688,575
2020-10-06,8233,4441,6580,1062,0,70,5504,7712,2730,521
2020-10-13,10349,5955,8362,1392,0,70,7347,9824,3002,525
2020-10-20,12019,7449,10115,1421,28,70,8898,11606,3121,413
2020-10-27,14645,8961,12316,1812,261,0,11034,14129,3611,516
2020-11-03,12314,7651,10725,1056,166,70,8873,11851,3441,463
2020-11-10,12579,8201,10496,1374,122,70,9696,11940,2883,640
2020-11-17,13080,8088,10595,1620,168,70,9876,12285,3204,795
2020-11-24,13972,8492,10950,2052,205,70,10749,13072,3224,900
2020-12-01,12856,7520,10534,1707,218,89,9446,12330,3411,527
2020-12-08,12817,6989,10228,1922,408,83,9319,12232,3498,585
2020-12-15,12632,6553,9525,2326,502,70,9380,11920,3252,712
2020-12-21,14367,7130,10848,2662,565,90,10357,13600,4010,767
2020-12-29,11370,6438,9317,1173,478,90,8089,10580,3281,790
2021-01-05,12255,6901,9922,1357,506,90,8764,11369,3491,886
2021-01-12,13024,7187,10548,1629,380,90,9195,12266,3828,758
2021-01-19,13055,7369,10539,1568,436,90,9373,12197,3682,858
2021-01-26,11742,6206,9032,1771,457,96,8433,10898,3309,844
2021-02-02,10134,5212,7942,1290,428,172,6930,9404,3204,730
2021-02-09,11853,6175,9075,1721,382,203,8277,10998,3576,855
2021-02-16,12216,6513,9450,1701,367,220,8581,11372,3635,845
2021-02-23,11394,6379,8507,1634,380,272,8393,10413,3001,981
2021-03-02,8590,4384,6267,1245,415,195,6043,7707,2547,883
2021-03-09,9342,4862,6806,1338,419,261,6620,8405,2722,937
2021-03-16,9951,4730,7398,1598,489,171,6816,9166,3134,784
2021-03-23,10491,5442,7858,1594,554,184,7590,9635,2902,856
2021-03-30,9504,5669,7898,685,505,207,6859,8791,2645,713
2021-04-06,10047,5938,8241,807,508,208,7253,9257,2793,790
2021-04-13,9890,5785,8260,669,552,208,7006,9137,2884,754
2021-04-20,9028,5147,7422,627,530,203,6305,8252,2723,776
2021-04-27,8663,4426,6357,1013,458,207,5897,7577,2766,1086
2021-05-04,8528,4974,6762,718,470,129,6162,7609,2366,919
2021-05-11,8469,4664,6630,846,722,118,6232,7593,2237,875
2021-05-18,9522,6290,7271,939,357,385,7586,8595,1936,928
